corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00100601,consolidated,2015,2016,13674586203,711048964,native,native
00100601,consolidated,2022,2023,21992232992,635039381,native,native
00100939,separate,2007,2008,52894738040,2415845109,native,native
00101044,consolidated,2012,2013,7928589080,-3170880618,native,native
00101220,consolidated,2012,2013,205986727211,15884636902,native,native
00101220,separate,2007,2008,76246369853,4864711056,native,native
00101433,consolidated,2012,2013,96283116477,23641183444,native,native
00101433,separate,2004,2005,75653162611,23766589145,native,native
00101433,separate,2006,2007,82372463707,24894441416,native,native
00101488,consolidated,2012,2013,97063884855,7754969828,native,native
00101549,consolidated,2012,2013,29890057704,8621060438,native,native
00101549,separate,2003,2004,23469678935,5525397499,native,native
00101628,consolidated,2012,2013,85024914933,8716256286,native,native
00101664,separate,2015,2016,44877171768000000,5423636135000000,native,native
00101752,consolidated,2010,2011,19481033383,1226504930,native,native
00101752,separate,2007,2008,19114711620,1426004249,native,native
00102113,consolidated,2006,2007,121277652287,1576316404,native,native
00102113,separate,2006,2007,19358233547,405349115,native,native
00102140,consolidated,2012,2013,7283563345,195773407,native,native
00102140,separate,2007,2008,1817522910,36248461,native,native
00102353,consolidated,2012,2013,118903159422,6814640084,native,native
00102432,consolidated,2001,2002,458952442623,37596099237,native,native
00102432,consolidated,2012,2013,327107545224,7113410821,native,native
00102432,separate,2006,2007,159366276742,16891387217,native,native
00102618,consolidated,2012,2013,63487029290,2432242828,native,native
00102618,separate,2003,2004,28221714230,1479270911,native,native
00102618,separate,2005,2006,31571779881,1523768749,native,native
00102751,consolidated,2012,2013,48011603919,805429055,native,native
00102751,separate,2007,2008,31171607878,346541458,native,native
00102858,consolidated,2010,2011,1225125486161,234784658709,native,native
00102858,separate,2003,2004,277891817079,36428980644,native,native
00103006,consolidated,2012,2013,239564519948,8809590156,native,native
00103006,separate,2003,2004,77923588535,3270273789,native,native
00103042,consolidated,2012,2013,92889649407,4400847608,native,native
00103042,separate,2007,2008,39799354831,777122023,native,native
00103130,consolidated,2006,2007,16590192409,-4162999126,native,native
00103130,consolidated,2012,2013,1235777949,-502992169,native,native
00103510,consolidated,2010,2011,229049691566,12194823525,native,native
00103510,separate,2003,2004,32085837170,2765546361,native,native
00103547,consolidated,2018,2019,8072461555,-914838785,native,native
00103547,separate,2008,2009,3861034700,256071176,native,native
00103592,consolidated,2012,2013,98930490527,7904416630,native,native
00103662,consolidated,2012,2013,16103006820,658128299,native,native
00103662,separate,2006,2007,8260334353,315531913,native,native
00104120,consolidated,2022,2023,15434836212,166160283,native,native
00104120,separate,2007,2008,15913788938,641269283,native,native
00104388,consolidated,2012,2013,222905783791,10628141134,native,native
00104388,separate,2004,2005,64614177954,5044508987,native,native
00104388,separate,2007,2008,104898722255,3985260048,native,native
00104573,consolidated,2012,2013,31136731688,7375865169,native,native
00104573,consolidated,2019,2020,27052700633,595413817,native,native
00104573,separate,2004,2005,8329961871,1352992338,native,native
00104698,consolidated,2012,2013,187443418811,-2815847064,native,native
00104722,consolidated,2012,2013,29829089157,368364510,native,native
00104768,consolidated,2012,2013,206326318066,3064539291,native,native
00104768,separate,2003,2004,101881794871,3610878167,native,native
00104768,separate,2007,2008,200473323306,7079584186,native,native
00104786,consolidated,2012,2013,6555660216,281004434,native,native
00104786,separate,2003,2004,6744112000,,native,native
00104810,consolidated,2012,2013,44652735292,580582803,native,native
00104810,separate,2007,2008,1407224723,-1098270209,native,native
00104999,consolidated,2004,2005,181079222623,5339895300,native,native
00104999,consolidated,2012,2013,59235066268,2174783532,native,native
