corp_code,statement_type,prev_year,next_year,revenue,operating_income,prev_deriv,next_deriv
00102113,consolidated,2006,2007,121277652287,1576316404,native,native
00107677,consolidated,2004,2005,0,0,native,native
00107677,consolidated,2005,2006,0,0,native,native
00108746,consolidated,2009,2010,44890090,,native,native
00108977,consolidated,2009,2010,0,0,native,native
00108977,consolidated,2010,2011,0,0,native,native
00112378,consolidated,2006,2007,119982559487,2430658812,native,native
00113359,separate,2015,2016,0,,native,native
00113359,separate,2016,2017,0,,native,native
00113359,separate,2017,2018,0,,native,native
00113359,separate,2018,2019,0,,native,native
00117601,separate,2016,2017,0,,native,native
00117601,separate,2017,2018,0,,native,native
00122348,consolidated,2004,2005,0,0,recomposed,recomposed
00122348,consolidated,2005,2006,0,0,recomposed,recomposed
00122348,consolidated,2006,2007,0,0,recomposed,recomposed
00122348,consolidated,2007,2008,0,0,recomposed,recomposed
00126487,consolidated,2004,2005,-202816848774,11651870065,native,native
00126487,consolidated,2005,2006,-202816848774,11651870065,native,native
00131939,consolidated,2009,2010,40080581644,-1835955640,native,native
00134316,consolidated,2005,2006,0,0,recomposed,recomposed
00134316,consolidated,2006,2007,0,0,recomposed,recomposed
00134316,consolidated,2007,2008,0,0,recomposed,recomposed
00134316,consolidated,2010,2011,0,0,recomposed,recomposed
00150828,consolidated,2005,2006,210709833204,5411757425,native,native
00160375,consolidated,2007,2008,32373101994,902346187,native,native
00163345,separate,2004,2005,58678315402,3439725419,native,native
00184889,consolidated,2004,2005,0,0,native,native
00184889,consolidated,2008,2009,264302595174,10246772607,native,native
00269940,consolidated,2007,2008,178190791744,28749590086,native,native
00346407,consolidated,2007,2008,98283845944,8290835547,native,native
00470829,consolidated,2007,2008,43141828161,2339914780,native,native
00620558,separate,2016,2017,12059574969,1680238898,native,native
00878915,separate,2016,2017,22000000,,native,native
