corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00506294,가비아,079940,KOSDAQ,12,2003,2026,24
00441304,가온그룹,078890,KOSDAQ,12,2003,2026,24
01364747,가온칩스,399720,KOSDAQ,12,2020,2026,7
00261009,감성코퍼레이션,036620,KOSDAQ,12,1999,2026,28
01032583,강동씨앤엘,198440,KOSDAQ,12,2014,2026,13
01025644,강스템바이오텍,217730,KOSDAQ,12,2013,2026,14
00100601,강원에너지,114190,KOSDAQ,12,2007,2026,20
00587457,갤럭시아머니트리,094480,KOSDAQ,12,2005,2026,22
00206039,경남스틸,039240,KOSDAQ,12,1999,2026,28
00307028,경남제약,053950,KOSDAQ,12,1999,2026,28
00101549,경동제약,011040,KOSDAQ,12,1997,2026,30
00102353,경창산업,024910,KOSDAQ,12,1997,2026,30
00336297,고려신용정보,049720,KOSDAQ,12,2000,2026,27
00103015,고려제약,014570,KOSDAQ,12,1999,2026,23
01399071,고바이오랩,348150,KOSDAQ,12,2018,2026,9
01416235,고스트스튜디오,950190,KOSDAQ,12,2018,2026,9
00579999,고영,098460,KOSDAQ,12,2006,2026,21
00249502,골드앤에스,035290,KOSDAQ,12,1997,2026,30
01067516,골프존,215000,KOSDAQ,12,2014,2026,13
00674498,골프존홀딩스,121440,KOSDAQ,12,2009,2026,18
00186452,광무,029480,KOSDAQ,12,1999,2026,28
00104120,광진실업,026910,KOSDAQ,12,1999,2026,27
00202060,구영테크,053270,KOSDAQ,12,1999,2026,28
00253985,국보디자인,066620,KOSDAQ,12,2004,2026,22
00256715,국순당,043650,KOSDAQ,12,1999,2026,28
00104537,국영지앤엠,006050,KOSDAQ,12,1999,2026,28
00203847,국일신동,060480,KOSDAQ,12,2012,2026,15
00104573,국일제지,078130,KOSDAQ,12,2002,2026,25
01329957,국전,307750,KOSDAQ,12,2018,2026,9
00244561,그래디언트,035080,KOSDAQ,12,1999,2026,28
01565054,그래피,318060,KOSDAQ,12,2023,2026,4
01299203,그리드위즈,453450,KOSDAQ,12,2022,2026,5
00671978,그리티,204020,KOSDAQ,12,2016,2026,11
00677486,그린광학,0015G0,KOSDAQ,12,2023,2026,4
01370863,그린리소스,402490,KOSDAQ,12,2021,2026,6
00532059,그린생명과학,114450,KOSDAQ,12,2007,2026,20
00602279,그린플러스,186230,KOSDAQ,12,2012,2026,14
00783246,글로벌에스엠,900070,KOSDAQ,12,2007,2026,20
01042711,글로벌텍스프리,204620,KOSDAQ,12,2013,2026,14
00159731,글로본,019660,KOSDAQ,12,1999,2026,28
00105475,금강철강,053260,KOSDAQ,12,1999,2026,28
00872656,금양그린파워,282720,KOSDAQ,12,2020,2026,7
00176516,금화피에스시,036190,KOSDAQ,12,1999,2026,27
00377018,기가레인,049080,KOSDAQ,12,2011,2026,16
00765569,기가비스,420770,KOSDAQ,12,2021,2026,6
00258421,기산텔레콤,035460,KOSDAQ,12,1999,2026,28
01586455,꿈비,407400,KOSDAQ,12,2020,2026,7
00994994,나노,187790,KOSDAQ,12,2013,2026,14
00439965,나노신소재,121600,KOSDAQ,12,2008,2026,19
01136001,나노실리칸첨단소재,286750,KOSDAQ,12,2017,2026,10
00660459,나노씨엠에스,247660,KOSDAQ,12,2018,2026,9
00230425,나노엔텍,039860,KOSDAQ,12,2000,2026,27
01524118,나노팀,417010,KOSDAQ,12,2020,2026,7
01021639,나라셀라,405920,KOSDAQ,12,2021,2026,6
01787355,나라스페이스테크놀로지,478340,KOSDAQ,12,2023,2026,4
00297095,나라엠앤디,051490,KOSDAQ,12,2000,2026,23
00362122,나래나노텍,137080,KOSDAQ,12,2019,2026,8
00819374,나무가,190510,KOSDAQ,12,2013,2026,14
01136348,나무기술,242040,KOSDAQ,12,2014,2026,13
01594791,나우로보틱스,459510,KOSDAQ,12,2023,2026,4
00767628,나이벡,138610,KOSDAQ,12,2009,2026,18
00606293,나이스디앤비,130580,KOSDAQ,12,2009,2026,18
00264945,나이스정보통신,036800,KOSDAQ,12,1999,2026,28
01307335,나인앤컴퍼니,366030,KOSDAQ,12,2019,2026,8
01208849,나인테크,267320,KOSDAQ,12,2015,2026,12
00245694,남화산업,111710,KOSDAQ,12,2016,2026,11
00108001,남화토건,091590,KOSDAQ,12,2009,2026,18
00923792,내츄럴엔도텍,168330,KOSDAQ,12,2011,2026,16
00599106,네오리진,094860,KOSDAQ,12,2005,2026,22
01170865,네오셈,253590,KOSDAQ,12,2016,2026,11
00876865,네오오토,212560,KOSDAQ,12,2013,2026,14
00628860,네오위즈,095660,KOSDAQ,12,2006,2026,21
00266952,네오위즈홀딩스,042420,KOSDAQ,12,2000,2026,27
01511558,네오이뮨텍,950220,KOSDAQ,12,2018,2026,9
01219155,네오크레마,311390,KOSDAQ,12,2017,2026,10
00447928,네오티스,085910,KOSDAQ,12,2005,2026,22
00551920,네오팜,092730,KOSDAQ,12,2005,2026,22
00842585,네이블,153460,KOSDAQ,12,2010,2026,17
00117276,네이처셀,007390,KOSDAQ,12,2000,2026,27
00227333,네패스,033640,KOSDAQ,12,2000,2026,27
01368354,네패스아크,330860,KOSDAQ,12,2019,2026,8
01440153,넥사다이내믹스,351320,KOSDAQ,12,2019,2026,8
00416414,넥스턴앤롤코리아,089140,KOSDAQ,12,2004,2026,23
01385050,넥스트바이오메디컬,389650,KOSDAQ,12,2022,2026,5
00614593,넥스트아이,137940,KOSDAQ,12,2009,2026,18
01515864,넥스트칩,396270,KOSDAQ,12,2020,2026,7
01080252,넥스틴,348210,KOSDAQ,12,2018,2026,9
01096341,넥슨게임즈,225570,KOSDAQ,12,2015,2026,12
01042429,넥써쓰,205500,KOSDAQ,12,2014,2026,13
01067808,넵튠,217270,KOSDAQ,12,2014,2026,13
00632845,노랑풍선,104620,KOSDAQ,12,2016,2026,11
01703849,노머스,473980,KOSDAQ,12,2022,2026,5
00811372,노바렉스,194700,KOSDAQ,12,2013,2026,14
01259232,노바텍,285490,KOSDAQ,12,2016,2026,11
00305941,노브랜드,145170,KOSDAQ,12,2022,2026,5
01494118,노을,376930,KOSDAQ,12,2019,2026,8
01810477,노타,486990,KOSDAQ,12,2023,2026,4
00513948,녹십자엠에스,142280,KOSDAQ,12,2012,2026,15
01135057,녹십자웰빙,234690,KOSDAQ,12,2017,2026,10
00410997,누리플랜,069140,KOSDAQ,12,2008,2026,19
00269889,누리플렉스,040160,KOSDAQ,12,2000,2026,27
01394669,누보,332290,KOSDAQ,12,2019,2026,8
01336461,뉴로메카,348340,KOSDAQ,12,2020,2026,7
01782004,뉴로핏,380550,KOSDAQ,12,2023,2026,4
00351375,뉴보텍,060260,KOSDAQ,12,2000,2026,27
00809429,뉴온,123840,KOSDAQ,12,2010,2026,17
00105040,뉴인텍,012340,KOSDAQ,12,1997,2026,30
01467503,뉴키즈온,462310,KOSDAQ,12,2023,2026,4
01214248,뉴트리,270870,KOSDAQ,12,2016,2026,11
00521390,뉴파워프라즈마,144960,KOSDAQ,12,2014,2026,13
00493510,뉴프렉스,085670,KOSDAQ,12,2003,2026,24
00389970,다날,064260,KOSDAQ,12,2002,2026,25
01416642,다보링크,340360,KOSDAQ,12,2019,2026,8
00268251,다산네트웍스,039560,KOSDAQ,12,1999,2026,28
01084364,다산디엠씨,208860,KOSDAQ,12,2014,2026,13
00624518,다산솔루에타,154040,KOSDAQ,12,2011,2026,16
00238782,다우데이타,032190,KOSDAQ,12,1999,2026,28
01344363,다원넥스뷰,323350,KOSDAQ,12,2016,2026,11
00523307,다원시스,068240,KOSDAQ,12,2008,2026,19
01246034,다이나믹솔루션,290660,KOSDAQ,12,2016,2026,11
01605282,닷밀,464580,KOSDAQ,12,2022,2026,5
00191287,대동금속,020400,KOSDAQ,12,1999,2026,28
00109310,대동기어,008830,KOSDAQ,12,1997,2026,30
00109268,대동스틸,048470,KOSDAQ,12,1999,2026,24
00109587,대륙제관,004780,KOSDAQ,12,1997,2026,30
00109781,대림제지,017650,KOSDAQ,12,1999,2026,28
01150515,대명에너지,389260,KOSDAQ,12,2020,2026,7
00450995,대모,317850,KOSDAQ,12,2017,2026,10
01259418,대보마그네틱,290670,KOSDAQ,12,2016,2026,11
00442826,대봉엘에스,078140,KOSDAQ,12,2004,2026,23
00177320,대성미생물,036480,KOSDAQ,12,1998,2026,28
00109037,대성창투,027830,KOSDAQ,12,2000,2026,27
00577335,대성하이텍,129920,KOSDAQ,12,2020,2026,7
00110875,대신정보통신,020180,KOSDAQ,3,1998,2026,28
00318316,대아티아이,045390,KOSDAQ,12,2000,2026,27
00111193,대양전기공업,108380,KOSDAQ,12,2009,2026,18
00111838,대원,007680,KOSDAQ,12,2015,2026,12
00351807,대원미디어,048910,KOSDAQ,12,1999,2026,28
00111874,대원산업,005710,KOSDAQ,12,1999,2026,28
00250997,대정화금,120240,KOSDAQ,12,2008,2026,19
00112457,대주산업,003310,KOSDAQ,12,1997,2026,26
00177816,대주전자재료,078600,KOSDAQ,12,2002,2026,25
01549472,대진첨단소재,393970,KOSDAQ,12,2022,2026,5
00177870,대창솔루션,096350,KOSDAQ,12,2005,2026,22
00112721,대창스틸,140520,KOSDAQ,12,2012,2026,15
00608316,대한과학,131220,KOSDAQ,12,2009,2026,18
00113261,대한광통신,010170,KOSDAQ,12,2000,2026,26
00207375,대한뉴팜,054670,KOSDAQ,12,1999,2026,28
00113128,대한약품,023910,KOSDAQ,12,1998,2026,29
00166175,대호특수강,021040,KOSDAQ,12,2000,2026,27
00210740,대화제약,067080,KOSDAQ,12,2000,2026,27
01214743,더네이쳐홀딩스,298540,KOSDAQ,12,2018,2026,9
00205687,더라미,032860,KOSDAQ,12,2000,2026,24
01291317,더블유씨피,393890,KOSDAQ,12,2020,2026,7
01318261,더블유에스아이,299170,KOSDAQ,12,2016,2026,11
01563667,더즌,462860,KOSDAQ,12,2022,2026,5
00530413,더코디,224060,KOSDAQ,12,2013,2026,14
00351454,더테크놀로지,043090,KOSDAQ,12,2006,2026,21
01138364,더핑크퐁컴퍼니,403850,KOSDAQ,12,2019,2026,8
01061558,덕산네오룩스,213420,KOSDAQ,12,2014,2026,13
01021666,덕산테코피아,317330,KOSDAQ,12,2017,2026,10
00471068,덕산하이메탈,077360,KOSDAQ,12,2003,2026,23
00454937,덕신이피씨,090410,KOSDAQ,12,2012,2026,15
01516933,덕양에너젠,0001A0,KOSDAQ,12,2023,2026,4
00571298,덕우전자,263600,KOSDAQ,12,2015,2026,12
01008762,데브시스터즈,194480,KOSDAQ,12,2012,2026,15
01455492,데이원컴퍼니,373160,KOSDAQ,12,2022,2026,5
00877819,데이타솔루션,263800,KOSDAQ,12,2015,2026,12
01021949,덱스터,206560,KOSDAQ,12,2013,2026,14
01187494,덴티스,261200,KOSDAQ,12,2016,2026,11
01380578,도우인시스,484120,KOSDAQ,12,2023,2026,4
00449379,도이치모터스,067990,KOSDAQ,12,2003,2026,24
00114686,동구바이오제약,006620,KOSDAQ,12,2015,2026,12
