company,corp_code,combo,metric,period,classification,detail,timestamp
기신정기,00106614,분기x연결,revenue,2012 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:30:37
기신정기,00106614,분기x연결,revenue,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:30:37
기신정기,00106614,분기x연결,revenue,2012 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:30:37
기신정기,00106614,분기x연결,operating_income,2012 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:30:37
기신정기,00106614,분기x연결,operating_income,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:30:37
기신정기,00106614,분기x연결,operating_income,2012 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:30:37
대신정보통신,00110875,연간x연결,revenue,2004,data_gap,"UI blank, DB=None",2026-07-07T06:30:58
대신정보통신,00110875,연간x연결,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T06:30:58
대신정보통신,00110875,연간x연결,operating_income,2004,data_gap,"UI blank, DB=None",2026-07-07T06:30:58
대신정보통신,00110875,연간x연결,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T06:30:58
대신정보통신,00110875,연간x별도,revenue,2004,data_gap,"UI blank, DB=None",2026-07-07T06:31:03
대신정보통신,00110875,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T06:31:03
대신정보통신,00110875,연간x별도,operating_income,2004,data_gap,"UI blank, DB=None",2026-07-07T06:31:03
대신정보통신,00110875,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T06:31:03
에이프로젠바이오로직스,00101044,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T06:33:14
에이프로젠바이오로직스,00101044,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T06:33:14
강원에너지,00100601,분기x연결,revenue,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:33:53
강원에너지,00100601,분기x연결,revenue,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:33:53
강원에너지,00100601,분기x연결,operating_income,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:33:53
강원에너지,00100601,분기x연결,operating_income,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:33:53
경동제약,00101549,분기x별도,revenue,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:34:33
경동제약,00101549,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:34:33
경동제약,00101549,분기x별도,operating_income,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:34:33
경동제약,00101549,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:34:33
LS에코에너지,01093007,연간x별도,revenue,2024,data_gap,"UI blank, DB=None",2026-07-07T06:34:51
LS에코에너지,01093007,분기x별도,revenue,2024 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:35:05
LS에코에너지,01093007,분기x별도,revenue,2025 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:35:05
LS에코에너지,01093007,분기x별도,revenue,2025 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:35:05
LS에코에너지,01093007,분기x별도,revenue,2025 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:35:05
LS에코에너지,01093007,분기x별도,revenue,2025 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:35:05
제이케이시냅스,00363510,분기x연결,revenue,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:36:35
제이케이시냅스,00363510,분기x연결,revenue,2012 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:36:35
제이케이시냅스,00363510,분기x연결,operating_income,2012 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:36:35
제이케이시냅스,00363510,분기x연결,operating_income,2012 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:36:35
광명전기,00103662,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T06:39:05
광명전기,00103662,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T06:39:05
광명전기,00103662,분기x별도,revenue,2009 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:39:24
광명전기,00103662,분기x별도,revenue,2009 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:39:24
광명전기,00103662,분기x별도,operating_income,2009 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:39:24
광명전기,00103662,분기x별도,operating_income,2009 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:39:24
KG케미칼,00101220,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T06:40:10
경농,00101433,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:41:01
경농,00101433,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:41:01
경농,00101433,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:41:01
경농,00101433,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:41:01
경농,00101433,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:41:01
경농,00101433,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:41:01
경동나비엔,00101488,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:41:26
경동나비엔,00101488,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:41:26
경동나비엔,00101488,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:41:26
경동나비엔,00101488,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:41:26
경동나비엔,00101488,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:41:26
경동나비엔,00101488,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:41:26
경방,00101628,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:41:59
경방,00101628,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:41:59
경방,00101628,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:41:59
경방,00101628,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:41:59
경방,00101628,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:41:59
경방,00101628,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:41:59
경방,00101628,분기x별도,revenue,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:42:06
경방,00101628,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:42:06
경방,00101628,분기x별도,operating_income,2005 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:42:06
경방,00101628,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:42:06
인디에프,00106881,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T06:42:20
인디에프,00106881,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T06:42:20
인디에프,00106881,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:42:31
인디에프,00106881,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:42:31
인디에프,00106881,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:42:31
인디에프,00106881,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:42:31
인디에프,00106881,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:42:31
인디에프,00106881,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:42:31
남광토건,00107066,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,revenue,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,operating_income,2006 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
남광토건,00107066,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:43:11
플레이그램,00103130,연간x연결,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T06:43:25
플레이그램,00103130,연간x연결,revenue,2010,data_gap,"UI blank, DB=None",2026-07-07T06:43:25
플레이그램,00103130,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T06:43:25
플레이그램,00103130,연간x연결,operating_income,2010,data_gap,"UI blank, DB=None",2026-07-07T06:43:25
플레이그램,00103130,연간x별도,revenue,2002,data_gap,"UI blank, DB=None",2026-07-07T06:43:30
플레이그램,00103130,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:43:36
플레이그램,00103130,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:43:36
플레이그램,00103130,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:43:36
플레이그램,00103130,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:43:36
플레이그램,00103130,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:43:36
플레이그램,00103130,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:43:36
플레이그램,00103130,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:43:44
플레이그램,00103130,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:43:44
플레이그램,00103130,분기x별도,operating_income,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:43:44
플레이그램,00103130,분기x별도,operating_income,2007 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:43:44
플레이그램,00103130,분기x별도,operating_income,2007 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:43:44
플레이그램,00103130,분기x별도,operating_income,2007 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:43:44
계룡건설산업,00102432,연간x별도,revenue,2004,data_gap,"UI blank, DB=None",2026-07-07T06:44:35
계룡건설산업,00102432,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T06:44:35
계룡건설산업,00102432,연간x별도,revenue,2006,data_gap,"UI blank, DB=None",2026-07-07T06:44:35
계룡건설산업,00102432,연간x별도,operating_income,2004,data_gap,"UI blank, DB=None",2026-07-07T06:44:35
계룡건설산업,00102432,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T06:44:35
계룡건설산업,00102432,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T06:44:35
계룡건설산업,00102432,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:44:41
계룡건설산업,00102432,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:44:41
계룡건설산업,00102432,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:44:41
계룡건설산업,00102432,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:44:41
계룡건설산업,00102432,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:44:41
계룡건설산업,00102432,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:44:41
계룡건설산업,00102432,분기x별도,revenue,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:44:49
계룡건설산업,00102432,분기x별도,revenue,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:44:49
계룡건설산업,00102432,분기x별도,revenue,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:44:49
계룡건설산업,00102432,분기x별도,operating_income,2006 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:44:49
계룡건설산업,00102432,분기x별도,operating_income,2006 CQ3,data_gap,"UI blank, DB=None",2026-07-07T06:44:49
계룡건설산업,00102432,분기x별도,operating_income,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:44:49
고려아연,00102858,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T06:45:08
고려아연,00102858,연간x별도,revenue,2006,data_gap,"UI blank, DB=None",2026-07-07T06:45:08
고려아연,00102858,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T06:45:08
고려아연,00102858,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T06:45:08
고려아연,00102858,분기x별도,revenue,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,revenue,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,revenue,2007 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,revenue,2007 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,operating_income,2005 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,operating_income,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,operating_income,2007 CQ1,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
고려아연,00102858,분기x별도,operating_income,2007 CQ2,data_gap,"UI blank, DB=None",2026-07-07T06:45:21
SK,00181712,연간x연결,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T06:46:09
SK,00181712,연간x연결,operating_income,2010,data_gap,"UI blank, DB=None",2026-07-07T06:46:09
SK,00181712,연간x별도,revenue,2009,data_gap,"UI blank, DB=None",2026-07-07T06:46:14
SK,00181712,연간x별도,revenue,2021,data_gap,"UI blank, DB=None",2026-07-07T06:46:14
SK,00181712,연간x별도,revenue,2022,data_gap,"UI blank, DB=None",2026-07-07T06:46:14
SK,00181712,연간x별도,operating_income,2009,data_gap,"UI blank, DB=None",2026-07-07T06:46:14
