corp_code,corp_name,rcept_no,dart_link,basis,unit_source,fy,period,bs_n,is_n,cf_n,flag
00100939,강남제비스코,20000515000164,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000164,consolidated,declared,2000,Q1,202,173,,HIGH
00100939,강남제비스코,20010330001530,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010330001530,separate,pdf,2000,FY,36,16,57,HIGH
00100939,강남제비스코,20010814001198,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010814001198,separate,pdf,2001,H1,24,12,62,HIGH
00100939,강남제비스코,20011113000096,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011113000096,separate,pdf,2001,Q3,25,11,72,HIGH
00100939,강남제비스코,20020330000452,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020330000452,separate,declared,2001,FY,102,78,106,HIGH
00100939,강남제비스코,20020401000966,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020401000966,separate,declared,2001,FY,102,78,106,HIGH
00100939,강남제비스코,20020514000931,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020514000931,consolidated,declared,2002,Q1,100,88,,HIGH
00100939,강남제비스코,20020514000931,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020514000931,separate,declared,2002,Q1,100,74,106,HIGH
00100939,강남제비스코,20020813000706,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020813000706,consolidated,declared,2002,H1,100,88,,HIGH
00100939,강남제비스코,20020813000706,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020813000706,separate,declared,2002,H1,102,78,106,HIGH
00100939,강남제비스코,20021113000655,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021113000655,consolidated,declared,2002,Q3,100,88,,HIGH
00100939,강남제비스코,20021113000655,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021113000655,separate,declared,2002,Q3,103,77,106,HIGH
00100939,강남제비스코,20030813000541,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030813000541,consolidated,declared,2003,Q1,102,87,,HIGH
00100939,강남제비스코,20030813000541,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030813000541,separate,declared,2003,Q1,92,62,63,HIGH
00100939,강남제비스코,20030814000424,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030814000424,consolidated,declared,2003,H1,102,87,,HIGH
00100939,강남제비스코,20030814000424,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20030814000424,separate,declared,2003,H1,97,68,70,HIGH
00100939,강남제비스코,20031113000578,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20031113000578,consolidated,declared,2003,Q3,102,87,,HIGH
00100939,강남제비스코,20031113000578,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20031113000578,separate,declared,2003,Q3,97,68,74,HIGH
00100939,강남제비스코,20040330000489,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040330000489,separate,declared,2003,FY,96,75,105,HIGH
00100939,강남제비스코,20040514002265,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040514002265,consolidated,declared,2004,Q1,100,86,,HIGH
00100939,강남제비스코,20040521000095,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040521000095,separate,declared,2003,FY,96,75,105,HIGH
00100939,강남제비스코,20040813000845,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813000845,consolidated,declared,2004,H1,100,86,,HIGH
00100939,강남제비스코,20040813000845,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813000845,separate,declared,2004,H1,90,62,74,HIGH
00100939,강남제비스코,20041115000239,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041115000239,consolidated,declared,2004,Q3,100,86,,HIGH
00100939,강남제비스코,20041115000239,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041115000239,separate,declared,2004,Q3,95,65,77,HIGH
00100939,강남제비스코,20041222000031,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041222000031,consolidated,declared,2004,Q3,100,86,,HIGH
00100939,강남제비스코,20041222000031,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041222000031,separate,declared,2004,Q3,95,65,77,HIGH
00100939,강남제비스코,20050331000150,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050331000150,separate,declared,2004,FY,96,74,94,HIGH
00100939,강남제비스코,20050513001056,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050513001056,consolidated,declared,2005,Q1,98,86,,HIGH
00100939,강남제비스코,20050513001056,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050513001056,separate,declared,2005,Q1,95,64,68,HIGH
00100939,강남제비스코,20050812000257,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050812000257,consolidated,declared,2005,H1,98,86,,HIGH
00100939,강남제비스코,20051116000024,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20051116000024,consolidated,declared,2005,Q3,98,86,,HIGH
00100939,강남제비스코,20051116000024,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20051116000024,separate,declared,2005,Q3,99,76,93,HIGH
00100939,강남제비스코,20060331000101,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060331000101,separate,declared,2005,FY,99,76,95,HIGH
00100939,강남제비스코,20060515000601,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060515000601,consolidated,declared,2006,Q1,98,88,,HIGH
00100939,강남제비스코,20060515000601,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060515000601,separate,declared,2006,Q1,97,65,66,HIGH
00100939,강남제비스코,20060814000107,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060814000107,consolidated,declared,2006,H1,98,88,,HIGH
00100939,강남제비스코,20060814000107,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20060814000107,separate,declared,2006,H1,97,67,73,HIGH
00100939,강남제비스코,20061114000733,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20061114000733,consolidated,declared,2006,Q3,98,88,,HIGH
00100939,강남제비스코,20061114000733,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20061114000733,separate,declared,2006,Q3,97,66,76,HIGH
00100939,강남제비스코,20070330000865,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20070330000865,separate,declared,2006,FY,98,75,95,HIGH
00100939,강남제비스코,20070515000557,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20070515000557,consolidated,declared,2007,Q1,97,86,,HIGH
