corp_code,corp_name,rcept_no,dart_link,basis,unit_source,fy,period,bs_n,is_n,cf_n,flag
00101549,경동제약,20000509000233,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000509000233,separate,pdf,2000,Q1,10,12,3,LOW
00101549,경동제약,20000811000314,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000811000314,separate,pdf,2000,H1,10,12,3,LOW
00101549,경동제약,20010330000367,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010330000367,separate,pdf,2000,FY,11,12,5,LOW
00101549,경동제약,20010514000555,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010514000555,separate,pdf,2001,Q1,8,12,5,LOW
00101549,경동제약,20010814000257,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010814000257,separate,pdf,2001,H1,7,12,5,LOW
00101549,경동제약,20011113000618,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011113000618,separate,pdf,2001,Q3,7,11,6,LOW
00101549,경동제약,20011114000949,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011114000949,separate,pdf,2001,H1,7,12,3,LOW
00101549,경동제약,20021113000472,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021113000472,separate,pdf,2002,Q3,7,12,3,LOW
00101549,경동제약,20021114000199,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021114000199,separate,pdf,2002,Q3,7,12,5,LOW
00101628,경방,20010514000158,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010514000158,consolidated,pdf,2001,Q1,5,7,,LOW
00101628,경방,20010813000048,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010813000048,consolidated,pdf,2001,H1,5,8,,LOW
00101628,경방,20010813000584,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010813000584,consolidated,pdf,2001,H1,5,8,,LOW
00101628,경방,20011113000005,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011113000005,consolidated,pdf,2001,Q3,5,7,,LOW
00101628,경방,20021112000015,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021112000015,consolidated,pdf,2002,Q3,5,6,,LOW
00101628,경방,20021112000015,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021112000015,separate,pdf,2002,Q3,5,1,35,LOW
00101664,경보제약,20160516002934,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160516002934,separate,declared,2016,Q1,17,19,27,LOW
00101752,케이씨피드,20000812000060,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000812000060,separate,pdf,2000,H1,9,13,10,LOW
00101752,케이씨피드,20000814000485,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000485,separate,pdf,2000,H1,9,13,10,LOW
00101752,케이씨피드,20000817000019,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000817000019,separate,pdf,2000,H1,9,13,10,LOW
00102140,경인전자,20000515000369,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000515000369,separate,pdf,2000,Q1,3,2,37,LOW
00102140,경인전자,20000814000161,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000161,separate,pdf,2000,H1,3,2,38,LOW
00102140,경인전자,20010330000666,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010330000666,separate,pdf,2000,FY,4,2,43,LOW
00102140,경인전자,20010331000564,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010331000564,separate,pdf,2000,FY,4,2,43,LOW
00102140,경인전자,20010514000398,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010514000398,separate,pdf,2001,Q1,3,,41,LOW
00102140,경인전자,20010813000606,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010813000606,separate,pdf,2001,H1,3,,40,LOW
00102140,경인전자,20010903000013,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20010903000013,separate,pdf,2001,H1,3,,40,LOW
00102140,경인전자,20011113000336,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011113000336,separate,pdf,2001,Q3,3,,40,LOW
00102140,경인전자,20011115000005,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20011115000005,separate,pdf,2001,Q3,3,,40,LOW
00102140,경인전자,20021113000275,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20021113000275,separate,pdf,2002,Q3,3,,44,LOW
00103130,MDS스피어,20020401000787,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020401000787,separate,declared,2001,FY,19,14,6,LOW
00103130,MDS스피어,20020515001024,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020515001024,separate,declared,2002,Q1,19,15,6,LOW
00103130,MDS스피어,20020814001301,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020814001301,separate,declared,2002,H1,19,16,14,LOW
00103130,MDS스피어,20160518000055,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20160518000055,separate,xbrl,2016,Q1,46,28,6,LOW
00103130,MDS스피어,20180402003540,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180402003540,consolidated,declared,2017,FY,19,24,23,LOW
00103130,MDS스피어,20180402003540,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180402003540,separate,declared,2017,FY,15,17,22,LOW
00103510,인지컨트롤스,20000814000138,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20000814000138,separate,pdf,2000,H1,5,12,21,LOW
00103510,인지컨트롤스,20020515000247,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020515000247,separate,pdf,2002,Q1,7,5,42,LOW
00103510,인지컨트롤스,20020813000409,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20020813000409,separate,pdf,2002,H1,9,3,38,LOW
00103592,광동제약,20040622000307,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040622000307,separate,squished_total,2004,Q1,1,,,LOW
00103592,광동제약,20040813001176,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20040813001176,separate,squished_total,2004,H1,1,,,LOW
00103592,광동제약,20041112000503,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20041112000503,separate,squished_total,2004,Q3,1,,,LOW
00103592,광동제약,20050429001123,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050429001123,separate,squished_total,2004,FY,1,,,LOW
00103592,광동제약,20050513001948,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050513001948,separate,squished_total,2005,Q1,1,,,LOW
00103592,광동제약,20050812000771,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20050812000771,separate,squished_total,2005,H1,1,,,LOW
00103592,광동제약,20051111000596,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20051111000596,separate,squished_total,2005,Q3,1,,,LOW
