company,corp_code,combo,metric,period,classification,detail,timestamp
LS마린솔루션,00225742,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:33:51
LS마린솔루션,00225742,분기x별도,operating_income,2006 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:34:05
LS증권,00330424,연간x별도,revenue,2006,data_gap,"UI blank, DB=None",2026-07-07T20:34:56
LS증권,00330424,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:34:56
LS증권,00330424,분기x연결,revenue,2017 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:02
LS증권,00330424,분기x연결,revenue,2018 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:35:02
LS증권,00330424,분기x연결,operating_income,2017 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:35:02
LS증권,00330424,분기x연결,operating_income,2018 CQ1,data_gap,"UI blank, DB=None",2026-07-07T20:35:02
LSK아이로봇,00542074,연간x별도,revenue,2005,data_gap,"UI blank, DB=None",2026-07-07T20:35:58
LSK아이로봇,00542074,연간x별도,operating_income,2005,data_gap,"UI blank, DB=None",2026-07-07T20:35:58
NE능률,00363927,연간x별도,revenue,2006,data_gap,"UI blank, DB=None",2026-07-07T20:37:32
NE능률,00363927,연간x별도,operating_income,2006,data_gap,"UI blank, DB=None",2026-07-07T20:37:32
NE능률,00363927,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:37:38
NE능률,00363927,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:37:38
NE능률,00363927,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:37:38
NE능률,00363927,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:37:38
NE능률,00363927,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:37:38
NE능률,00363927,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:37:38
NHN벅스,00645089,분기x연결,revenue,2010 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,revenue,2010 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,revenue,2010 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,revenue,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,revenue,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,revenue,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,operating_income,2010 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,operating_income,2010 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,operating_income,2010 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,operating_income,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,operating_income,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
NHN벅스,00645089,분기x연결,operating_income,2014 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:39:12
PN풍년,00133557,연간x별도,operating_income,2002,data_gap,"UI blank, DB=None",2026-07-07T20:40:41
원익QnC,00468374,분기x연결,revenue,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:41:51
원익QnC,00468374,분기x연결,revenue,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:41:51
원익QnC,00468374,분기x연결,revenue,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:41:51
원익QnC,00468374,분기x연결,operating_income,2011 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:41:51
원익QnC,00468374,분기x연결,operating_income,2011 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:41:51
원익QnC,00468374,분기x연결,operating_income,2011 CQ4,data_gap,"UI blank, DB=None",2026-07-07T20:41:51
SBI인베스트먼트,00156910,분기x연결,operating_income,2014 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:46:06
SBI인베스트먼트,00156910,분기x연결,operating_income,2014 CQ3,data_gap,"UI blank, DB=None",2026-07-07T20:46:06
SBI인베스트먼트,00156910,분기x별도,operating_income,2004 CQ2,data_gap,"UI blank, DB=None",2026-07-07T20:46:14
