corp_code,corp_name,stock_code,market,fiscal_month,earliest_fy,latest_fy,distinct_fy_count
00225742,LS마린솔루션,060370,KOSDAQ,12,1999,2026,27
01528141,LS머트리얼즈,417200,KOSDAQ,12,2021,2026,6
00330424,LS증권,078020,KOSDAQ,12,2005,2026,22
01309388,LS티라유텍,322180,KOSDAQ,12,2017,2026,10
00542074,LSK아이로봇,091970,KOSDAQ,12,2004,2026,23
01704680,M83,476080,KOSDAQ,12,2022,2026,5
00445841,MDS테크,086960,KOSDAQ,12,2004,2026,23
00363927,NE능률,053290,KOSDAQ,12,2001,2026,26
00974927,NEW,160550,KOSDAQ,12,2012,2026,15
00176835,NH농우바이오,054050,KOSDAQ,12,2001,2026,25
00645089,NHN벅스,104200,KOSDAQ,12,2007,2026,20
00357740,NHN KCP,060250,KOSDAQ,12,1999,2026,28
00363769,NICE인프라,063570,KOSDAQ,12,1999,2026,27
00133557,PN풍년,024940,KOSDAQ,12,1999,2026,27
01015160,PS일렉트로닉스,332570,KOSDAQ,12,2018,2026,9
00468374,원익QnC,074600,KOSDAQ,12,2002,2026,25
01343665,RF머트리얼즈,327260,KOSDAQ,12,2017,2026,10
01286476,RF시스템즈,474610,KOSDAQ,12,2022,2026,5
00608802,텔콘RF제약,200230,KOSDAQ,12,2012,2026,15
01078178,RFHIC,218410,KOSDAQ,12,2015,2026,12
00415594,동국S&C,100130,KOSDAQ,12,2005,2026,22
00580667,S&K폴리텍,091340,KOSDAQ,12,2005,2026,22
01082418,SAMG엔터,419530,KOSDAQ,12,2020,2026,7
00156910,SBI인베스트먼트,019550,KOSDAQ,12,2001,2026,25
01110182,SCL사이언스,246960,KOSDAQ,12,2016,2026,11
00574611,SDN,099220,KOSDAQ,12,2007,2026,20
00358271,SFA,056190,KOSDAQ,12,1999,2026,27
01090471,SFA넥셀,222080,KOSDAQ,12,2014,2026,13
00301246,SFA반도체,036540,KOSDAQ,12,1999,2026,28
00963976,SG,255220,KOSDAQ,12,2015,2026,12
00264714,SG&G,040610,KOSDAQ,12,2000,2026,27
00988364,SGA솔루션즈,184230,KOSDAQ,12,2014,2026,13
00141246,SGC E&C,016250,KOSDAQ,12,1999,2026,28
01381984,SKAI,357880,KOSDAQ,12,2019,2026,8
00185046,SM C&C,048550,KOSDAQ,12,1999,2026,28
00367604,SM Life Design,063440,KOSDAQ,12,1999,2026,28
00399694,SOOP,067160,KOSDAQ,12,2001,2026,26
00121507,무림SP,001810,KOSDAQ,12,1999,2026,28
00599151,SV인베스트먼트,289080,KOSDAQ,3,2017,2026,10
00199988,SY동아,041930,KOSDAQ,12,1999,2026,28
00360036,백금T&A,046310,KOSDAQ,12,1999,2026,28
00130383,서부T&D,006730,KOSDAQ,12,1999,2026,28
00519252,THE E&M,089230,KOSDAQ,12,2004,2026,23
00201733,TJ미디어,032540,KOSDAQ,12,1997,2026,29
00108649,TPC로보틱스,048770,KOSDAQ,12,2000,2026,27
00778235,TS인베스트먼트,246690,KOSDAQ,12,2014,2026,13
01353024,TS트릴리온,317240,KOSDAQ,12,2017,2026,10
00263371,한국경제TV,039340,KOSDAQ,12,2001,2026,26
00201131,아즈텍WB,032080,KOSDAQ,12,2001,2026,26
00307222,YBM넷,057030,KOSDAQ,12,2005,2026,22
00200275,YTN,040300,KOSDAQ,12,1999,2026,28
