corp_code,combo,phase,seconds,timestamp
00506294,연간x연결,combo_total,5.19,2026-07-07T20:33:27
00506294,연간x별도,combo_total,6.17,2026-07-07T20:33:34
00506294,분기x연결,combo_total,7.26,2026-07-07T20:33:41
00506294,분기x별도,combo_total,6.36,2026-07-07T20:33:47
00441304,연간x연결,combo_total,5.21,2026-07-07T20:34:00
00441304,연간x별도,combo_total,6.24,2026-07-07T20:34:06
00441304,분기x연결,combo_total,7.29,2026-07-07T20:34:14
00441304,분기x별도,combo_total,6.33,2026-07-07T20:34:20
01364747,연간x연결,combo_total,5.09,2026-07-07T20:34:30
01364747,연간x별도,combo_total,6.20,2026-07-07T20:34:36
01364747,분기x연결,combo_total,7.17,2026-07-07T20:34:43
01364747,분기x별도,combo_total,6.15,2026-07-07T20:34:50
00261009,연간x연결,combo_total,5.08,2026-07-07T20:35:02
00261009,연간x별도,combo_total,6.25,2026-07-07T20:35:08
00261009,분기x연결,combo_total,7.22,2026-07-07T20:35:16
00261009,분기x별도,combo_total,6.31,2026-07-07T20:35:22
01032583,연간x연결,combo_total,5.09,2026-07-07T20:35:32
01032583,연간x별도,combo_total,6.12,2026-07-07T20:35:38
01032583,분기x연결,combo_total,7.25,2026-07-07T20:35:45
01032583,분기x별도,combo_total,6.24,2026-07-07T20:35:52
01025644,연간x연결,combo_total,5.13,2026-07-07T20:36:04
01025644,연간x별도,combo_total,6.10,2026-07-07T20:36:10
01025644,분기x연결,combo_total,7.32,2026-07-07T20:36:18
01025644,분기x별도,combo_total,6.16,2026-07-07T20:36:24
00587457,연간x연결,combo_total,5.18,2026-07-07T20:36:36
00587457,연간x별도,combo_total,6.27,2026-07-07T20:36:43
00587457,분기x연결,combo_total,7.36,2026-07-07T20:36:50
00587457,분기x별도,combo_total,6.48,2026-07-07T20:36:57
00206039,연간x연결,combo_total,8.16,2026-07-07T20:37:11
00206039,연간x별도,combo_total,6.22,2026-07-07T20:37:17
00206039,분기x연결,combo_total,7.26,2026-07-07T20:37:25
00206039,분기x별도,combo_total,6.26,2026-07-07T20:37:31
00307028,연간x연결,combo_total,5.17,2026-07-07T20:37:43
00307028,연간x별도,combo_total,6.24,2026-07-07T20:37:50
00307028,분기x연결,combo_total,7.31,2026-07-07T20:37:57
00307028,분기x별도,combo_total,6.30,2026-07-07T20:38:03
00336297,연간x연결,combo_total,5.11,2026-07-07T20:38:16
00336297,연간x별도,combo_total,6.18,2026-07-07T20:38:22
00336297,분기x연결,combo_total,7.23,2026-07-07T20:38:30
00336297,분기x별도,combo_total,6.16,2026-07-07T20:38:36
01399071,연간x연결,combo_total,5.17,2026-07-07T20:38:48
01399071,연간x별도,combo_total,6.14,2026-07-07T20:38:55
