company,corp_code,combo,period,metric,ui_csv_value,db_value,diff_pct,timestamp
MDS테크,00445841,분기x연결,2011 CQ1,revenue,11437695371.0,15111992486,24.314%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ1,revenue,12639538117.0,15826382291,20.136%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ2,revenue,15788860980.0,17620071335,10.393%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ3,revenue,14177001084.0,16617086707,14.684%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ4,revenue,20886293377.0,22652602723,7.797%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ1,revenue,13226425885.0,15826382291,16.428%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ2,revenue,18149632229.0,21151086256,14.191%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ3,revenue,18186525790.0,21120512303,13.892%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ4,revenue,21299428876.0,25602772507,16.808%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ1,revenue,16030260240.0,19701851586,18.636%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ2,revenue,23105956989.0,28294306355,18.337%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ3,revenue,19876836768.0,25079199660,20.744%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ4,revenue,25551667818.0,32105295300,20.413%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ1,revenue,18910731141.0,24939099660,24.172%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ2,revenue,23760018278.0,30725399853,22.670%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ3,revenue,19227758417.0,25803079433,25.483%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ4,revenue,30851842570.0,36333954529,15.088%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ1,revenue,18761370251.0,25051483280,25.109%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ2,revenue,25103671488.0,35408870604,29.103%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ3,revenue,27239774147.0,36218223230,24.790%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ4,revenue,41257893528.0,53602523504,23.030%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ1,revenue,21253053709.0,30510543198,30.342%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ2,revenue,33572819281.0,44743225157,24.966%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ3,revenue,23782512293.0,31695314660,24.965%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ4,revenue,31940861071.0,41985172143,23.923%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ1,revenue,24051835631.0,39047292479,38.403%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ2,revenue,27601614133.0,43362001813,36.346%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ3,revenue,25614851472.0,34811140360,26.418%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ4,revenue,29694391737.0,41724630371,28.832%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ1,revenue,26388591944.0,41506727354,36.423%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ2,revenue,29819849819.0,33371648630,10.643%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ3,revenue,27044454014.0,34908527901,22.528%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ4,revenue,33670103959.0,45115078379,25.368%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ1,revenue,31353064300.0,41441124302,24.343%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ2,revenue,26820122598.0,32622693703,17.787%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ3,revenue,21380930331.0,33027361901,35.263%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ4,revenue,24911972624.0,39480245278,36.900%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ1,revenue,22985716735.0,40759525380,43.607%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ2,revenue,23559458177.0,39377565187,40.170%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ3,revenue,21981618617.0,36935056260,40.486%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ4,revenue,20667470635.0,37986510235,45.593%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ1,revenue,22845347659.0,41563219708,45.035%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ2,revenue,22255646757.0,36497088469,39.021%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ3,revenue,18990641650.0,35736926117,46.860%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ4,revenue,24440875682.0,39724511904,38.474%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ1,revenue,22728892618.0,37749342254,39.790%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ2,revenue,21053643162.0,36251321560,41.923%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ3,revenue,23316138404.0,37867218018,38.427%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ4,revenue,29120328753.0,43445993493,32.974%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ1,revenue,27334877437.0,42400815879,35.532%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ2,revenue,25852039345.0,38655720622,33.122%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ3,revenue,29370389401.0,43083876791,31.830%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ4,revenue,26697271920.0,41438895182,35.574%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ1,revenue,27944301828.0,50652778453,44.832%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ2,revenue,30026237572.0,37888995852,20.752%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ3,revenue,33501882755.0,47708927574,29.779%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ4,revenue,34136108495.0,51455069025,33.658%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2026 CQ1,revenue,31110341869.0,50867375399,38.840%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2011 CQ1,operating_income,209388793.0,2191464733,90.445%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ1,operating_income,1778616358.0,833170894,113.476%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ2,operating_income,2435953646.0,3843304592,36.618%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ3,operating_income,1128075609.0,1256055295,10.189%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2012 CQ4,operating_income,2764517467.0,2872254364,3.751%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ1,operating_income,910942534.0,833170894,9.334%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ2,operating_income,2539619959.0,2790207973,8.981%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ3,operating_income,2013493389.0,1805185832,11.539%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2013 CQ4,operating_income,3286294907.0,3670721916,10.473%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ1,operating_income,1248940546.0,1449521369,13.838%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ2,operating_income,3007604074.0,3615577642,16.815%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ3,operating_income,2015734628.0,2372031418,15.021%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2014 CQ4,operating_income,2951844872.0,3377845580,12.612%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ1,operating_income,1373170854.0,2144863647,35.979%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ2,operating_income,3808793698.0,4623786050,17.626%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ3,operating_income,1655076575.0,2243273172,26.220%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2015 CQ4,operating_income,2912590127.0,3290215597,11.477%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ1,operating_income,1599140424.0,2378119490,32.756%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ2,operating_income,1839800977.0,3047587151,39.631%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ3,operating_income,1430184614.0,2474022997,42.192%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2016 CQ4,operating_income,4134429814.0,5656760888,26.912%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ1,operating_income,1552917218.0,2429956937,36.093%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ2,operating_income,2598969647.0,3806402566,31.721%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ3,operating_income,1871430918.0,2516900266,25.645%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2017 CQ4,operating_income,2532829127.0,2475311135,2.324%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ1,operating_income,2414894604.0,2992421042,19.300%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ2,operating_income,3710685793.0,4606796101,19.452%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ3,operating_income,2400279819.0,2963331368,19.001%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2018 CQ4,operating_income,369728357.0,-695739639,153.142%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ1,operating_income,1805409925.0,1436838513,25.652%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ2,operating_income,2602770076.0,5717654203,54.478%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ3,operating_income,1064057906.0,0,106405790600.000%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2019 CQ4,operating_income,1715225663.0,0,171522566300.000%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ1,operating_income,3509924836.0,2504526641,40.143%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ2,operating_income,2048361334.0,385830107,430.897%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ3,operating_income,1767834727.0,4264135968,58.542%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2020 CQ4,operating_income,479268627.0,-3128669570,115.319%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ1,operating_income,801267075.0,2559232634,68.691%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ2,operating_income,1790072939.0,2092248824,14.443%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ3,operating_income,535353420.0,-1348817635,139.691%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2021 CQ4,operating_income,370928808.0,3851828893,90.370%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ1,operating_income,1130827285.0,2696087963,58.057%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ2,operating_income,760131999.0,-10421091797,107.294%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ3,operating_income,702007715.0,15638719943,95.511%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2022 CQ4,operating_income,1134430666.0,240247865,372.192%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ1,operating_income,1419920176.0,3121153444,54.507%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ2,operating_income,1507556189.0,-10846157278,113.899%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ3,operating_income,1912816931.0,15931538661,87.994%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2023 CQ4,operating_income,345386020.0,511030994,32.414%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ1,operating_income,1432582604.0,2347087750,38.963%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ2,operating_income,1490709494.0,938889862,58.774%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ3,operating_income,2718408615.0,3447068051,21.139%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2024 CQ4,operating_income,-1072011019.0,-788715752,35.919%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ1,operating_income,1507270242.0,930318038,62.017%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ2,operating_income,2037606885.0,2436654859,16.377%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ3,operating_income,2851545316.0,2406214761,18.508%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2025 CQ4,operating_income,198747187.0,40125780,395.310%,2026-07-07T20:37:06
MDS테크,00445841,분기x연결,2026 CQ1,operating_income,2518532692.0,4526658269,44.362%,2026-07-07T20:37:06
