company,corp_code,stock_code,market,combo,tab,check_id,result,detail,elapsed_sec,timestamp
기신정기,00106614,092440,KOSPI,연간x연결,재무제표,DS-1,PASS,,,2026-07-07T06:30:25
기신정기,00106614,092440,KOSPI,연간x연결,상단,DS-8,PASS,,,2026-07-07T06:30:25
기신정기,00106614,092440,KOSPI,연간x연결,상단,DS-7,PASS,"badges seen: ['✅', '🔎', '⚠']",,2026-07-07T06:30:25
기신정기,00106614,092440,KOSPI,연간x연결,재무제표,CV-3,PASS,rows=29 cols=19 slider_extended=True,,2026-07-07T06:30:25
기신정기,00106614,092440,KOSPI,연간x연결,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:30:25
기신정기,00106614,092440,KOSPI,연간x연결,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:30:25
기신정기,00106614,092440,KOSPI,연간x별도,재무제표,DS-1,PASS,,,2026-07-07T06:30:31
기신정기,00106614,092440,KOSPI,연간x별도,상단,DS-8,PASS,,,2026-07-07T06:30:31
기신정기,00106614,092440,KOSPI,연간x별도,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:30:31
기신정기,00106614,092440,KOSPI,연간x별도,재무제표,CV-3,PASS,rows=29 cols=23 slider_extended=True,,2026-07-07T06:30:31
기신정기,00106614,092440,KOSPI,연간x별도,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:30:31
기신정기,00106614,092440,KOSPI,연간x별도,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:30:31
기신정기,00106614,092440,KOSPI,분기x연결,재무제표,DS-1,PASS,,,2026-07-07T06:30:37
기신정기,00106614,092440,KOSPI,분기x연결,상단,DS-8,PASS,,,2026-07-07T06:30:37
기신정기,00106614,092440,KOSPI,분기x연결,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:30:37
기신정기,00106614,092440,KOSPI,분기x연결,재무제표,CV-3,PASS,rows=29 cols=65 slider_extended=True,,2026-07-07T06:30:37
기신정기,00106614,092440,KOSPI,분기x연결,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:30:37
기신정기,00106614,092440,KOSPI,분기x연결,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:30:37
기신정기,00106614,092440,KOSPI,분기x별도,재무제표,DS-1,PASS,,,2026-07-07T06:30:44
기신정기,00106614,092440,KOSPI,분기x별도,상단,DS-8,PASS,,,2026-07-07T06:30:44
기신정기,00106614,092440,KOSPI,분기x별도,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:30:44
기신정기,00106614,092440,KOSPI,분기x별도,재무제표,CV-3,PASS,rows=29 cols=73 slider_extended=True,,2026-07-07T06:30:44
기신정기,00106614,092440,KOSPI,분기x별도,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:30:44
기신정기,00106614,092440,KOSPI,분기x별도,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:30:44
대신정보통신,00110875,020180,KOSDAQ,연간x연결,재무제표,DS-1,PASS,,,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x연결,상단,DS-8,PASS,,,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x연결,상단,DS-4,PASS,substitution caption present,,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x연결,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x연결,재무제표,CV-3,PASS,rows=29 cols=26 slider_extended=True,,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x연결,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x연결,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:30:58
대신정보통신,00110875,020180,KOSDAQ,연간x별도,재무제표,DS-1,PASS,,,2026-07-07T06:31:03
대신정보통신,00110875,020180,KOSDAQ,연간x별도,상단,DS-8,PASS,,,2026-07-07T06:31:03
대신정보통신,00110875,020180,KOSDAQ,연간x별도,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:31:03
대신정보통신,00110875,020180,KOSDAQ,연간x별도,재무제표,CV-3,PASS,rows=29 cols=26 slider_extended=True,,2026-07-07T06:31:03
대신정보통신,00110875,020180,KOSDAQ,연간x별도,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:31:03
대신정보통신,00110875,020180,KOSDAQ,연간x별도,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:31:03
대신정보통신,00110875,020180,KOSDAQ,분기x연결,재무제표,DS-1,PASS,,,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x연결,상단,DS-8,PASS,,,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x연결,상단,DS-4,PASS,substitution caption present,,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x연결,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x연결,재무제표,CV-3,PASS,rows=29 cols=76 slider_extended=True,,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x연결,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x연결,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:31:09
대신정보통신,00110875,020180,KOSDAQ,분기x별도,재무제표,DS-1,PASS,,,2026-07-07T06:31:17
대신정보통신,00110875,020180,KOSDAQ,분기x별도,상단,DS-8,PASS,,,2026-07-07T06:31:17
대신정보통신,00110875,020180,KOSDAQ,분기x별도,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:31:17
대신정보통신,00110875,020180,KOSDAQ,분기x별도,재무제표,CV-3,PASS,rows=29 cols=76 slider_extended=True,,2026-07-07T06:31:17
대신정보통신,00110875,020180,KOSDAQ,분기x별도,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:31:17
대신정보통신,00110875,020180,KOSDAQ,분기x별도,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:31:17
삼성전자,00126380,005930,KOSPI,연간x연결,재무제표,DS-1,PASS,,,2026-07-07T06:31:31
삼성전자,00126380,005930,KOSPI,연간x연결,상단,DS-8,PASS,,,2026-07-07T06:31:31
삼성전자,00126380,005930,KOSPI,연간x연결,상단,DS-7,PASS,"badges seen: ['✅', '🔎', '⚠']",,2026-07-07T06:31:31
삼성전자,00126380,005930,KOSPI,연간x연결,재무제표,CV-3,PASS,rows=29 cols=22 slider_extended=True,,2026-07-07T06:31:31
삼성전자,00126380,005930,KOSPI,연간x연결,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:31:31
삼성전자,00126380,005930,KOSPI,연간x연결,지표,CV-6,PASS,default metric selection visible,,2026-07-07T06:31:31
삼성전자,00126380,005930,KOSPI,연간x별도,재무제표,DS-1,PASS,,,2026-07-07T06:31:36
삼성전자,00126380,005930,KOSPI,연간x별도,상단,DS-8,PASS,,,2026-07-07T06:31:36
삼성전자,00126380,005930,KOSPI,연간x별도,상단,DS-7,PASS,"badges seen: ['✅', '🔎']",,2026-07-07T06:31:36
삼성전자,00126380,005930,KOSPI,연간x별도,재무제표,CV-3,PASS,rows=29 cols=23 slider_extended=True,,2026-07-07T06:31:36
삼성전자,00126380,005930,KOSPI,연간x별도,재무제표,DS-2/DS-3,DONE,"cross-check completed for ['매출액', '영업이익']",,2026-07-07T06:31:36
