corp_code,combo,phase,seconds,timestamp
00106614,연간x연결,combo_total,5.23,2026-07-07T06:30:31
00106614,연간x별도,combo_total,6.18,2026-07-07T06:30:37
00106614,분기x연결,combo_total,7.36,2026-07-07T06:30:44
00106614,분기x별도,combo_total,6.31,2026-07-07T06:30:51
00110875,연간x연결,combo_total,5.20,2026-07-07T06:31:03
00110875,연간x별도,combo_total,6.22,2026-07-07T06:31:09
00110875,분기x연결,combo_total,7.32,2026-07-07T06:31:17
00110875,분기x별도,combo_total,6.33,2026-07-07T06:31:23
00126380,연간x연결,combo_total,5.22,2026-07-07T06:31:36
00126380,연간x별도,combo_total,6.19,2026-07-07T06:31:42
00126380,분기x연결,combo_total,7.36,2026-07-07T06:31:50
00126380,분기x별도,combo_total,6.36,2026-07-07T06:31:56
00164779,연간x연결,combo_total,5.18,2026-07-07T06:32:08
00164779,연간x별도,combo_total,6.23,2026-07-07T06:32:15
00164779,분기x연결,combo_total,7.32,2026-07-07T06:32:22
00164779,분기x별도,combo_total,6.32,2026-07-07T06:32:29
00100939,연간x연결,combo_total,5.19,2026-07-07T06:32:41
00100939,연간x별도,combo_total,6.15,2026-07-07T06:32:47
00100939,분기x연결,combo_total,7.35,2026-07-07T06:32:55
00100939,분기x별도,combo_total,6.27,2026-07-07T06:33:01
00101044,연간x연결,combo_total,5.19,2026-07-07T06:33:14
00101044,연간x별도,combo_total,6.20,2026-07-07T06:33:20
00101044,분기x연결,combo_total,7.34,2026-07-07T06:33:27
00101044,분기x별도,combo_total,6.34,2026-07-07T06:33:34
00100601,연간x연결,combo_total,5.18,2026-07-07T06:33:46
00100601,연간x별도,combo_total,6.21,2026-07-07T06:33:53
00100601,분기x연결,combo_total,7.32,2026-07-07T06:34:00
00100601,분기x별도,combo_total,6.32,2026-07-07T06:34:06
00101549,연간x연결,combo_total,5.19,2026-07-07T06:34:19
00101549,연간x별도,combo_total,6.24,2026-07-07T06:34:25
00101549,분기x연결,combo_total,7.28,2026-07-07T06:34:33
00101549,분기x별도,combo_total,6.33,2026-07-07T06:34:39
01093007,연간x연결,combo_total,5.14,2026-07-07T06:34:51
01093007,연간x별도,combo_total,6.18,2026-07-07T06:34:58
01093007,분기x연결,combo_total,7.28,2026-07-07T06:35:05
01093007,분기x별도,combo_total,6.21,2026-07-07T06:35:11
01182408,연간x연결,combo_total,5.19,2026-07-07T06:35:24
01182408,연간x별도,combo_total,6.20,2026-07-07T06:35:30
01182408,분기x연결,combo_total,7.29,2026-07-07T06:35:37
01182408,분기x별도,combo_total,6.25,2026-07-07T06:35:44
01037542,연간x연결,combo_total,5.20,2026-07-07T06:35:56
01037542,연간x별도,combo_total,6.21,2026-07-07T06:36:03
01037542,분기x연결,combo_total,7.24,2026-07-07T06:36:10
01037542,분기x별도,combo_total,6.22,2026-07-07T06:36:16
00363510,연간x연결,combo_total,5.19,2026-07-07T06:36:29
00363510,연간x별도,combo_total,6.22,2026-07-07T06:36:35
00363510,분기x연결,combo_total,7.31,2026-07-07T06:36:42
00363510,분기x별도,combo_total,6.28,2026-07-07T06:36:49
00101664,연간x연결,combo_total,5.21,2026-07-07T06:37:01
00101664,연간x별도,combo_total,6.20,2026-07-07T06:37:07
00101664,분기x연결,combo_total,7.33,2026-07-07T06:37:15
00101664,분기x별도,combo_total,6.22,2026-07-07T06:37:21
00103015,연간x연결,combo_total,5.21,2026-07-07T06:37:33
00103015,연간x별도,combo_total,6.22,2026-07-07T06:37:40
00103015,분기x연결,combo_total,7.34,2026-07-07T06:37:47
00103015,분기x별도,combo_total,6.26,2026-07-07T06:37:53
00103547,연간x연결,combo_total,5.18,2026-07-07T06:38:06
00103547,연간x별도,combo_total,6.23,2026-07-07T06:38:12
00103547,분기x연결,combo_total,7.25,2026-07-07T06:38:19
00103547,분기x별도,combo_total,6.27,2026-07-07T06:38:26
00103592,연간x연결,combo_total,5.22,2026-07-07T06:38:38
00103592,연간x별도,combo_total,6.23,2026-07-07T06:38:44
00103592,분기x연결,combo_total,7.35,2026-07-07T06:38:52
00103592,분기x별도,combo_total,6.36,2026-07-07T06:38:58
00103662,연간x연결,combo_total,5.24,2026-07-07T06:39:11
00103662,연간x별도,combo_total,6.24,2026-07-07T06:39:17
00103662,분기x연결,combo_total,7.33,2026-07-07T06:39:24
00103662,분기x별도,combo_total,6.34,2026-07-07T06:39:31
00104120,연간x연결,combo_total,5.19,2026-07-07T06:39:43
00104120,연간x별도,combo_total,6.22,2026-07-07T06:39:49
00104120,분기x연결,combo_total,7.24,2026-07-07T06:39:57
00104120,분기x별도,combo_total,6.30,2026-07-07T06:40:03
00101220,연간x연결,combo_total,5.21,2026-07-07T06:40:15
00101220,연간x별도,combo_total,6.22,2026-07-07T06:40:22
00101220,분기x연결,combo_total,7.31,2026-07-07T06:40:29
00101220,분기x별도,combo_total,6.33,2026-07-07T06:40:35
00101433,연간x연결,combo_total,5.19,2026-07-07T06:40:48
00101433,연간x별도,combo_total,6.23,2026-07-07T06:40:54
00101433,분기x연결,combo_total,7.31,2026-07-07T06:41:01
00101433,분기x별도,combo_total,6.31,2026-07-07T06:41:08
00101488,연간x연결,combo_total,5.21,2026-07-07T06:41:20
00101488,연간x별도,combo_total,6.24,2026-07-07T06:41:26
00101488,분기x연결,combo_total,7.36,2026-07-07T06:41:34
00101488,분기x별도,combo_total,6.28,2026-07-07T06:41:40
00101628,연간x연결,combo_total,5.19,2026-07-07T06:41:53
00101628,연간x별도,combo_total,6.27,2026-07-07T06:41:59
00101628,분기x연결,combo_total,7.36,2026-07-07T06:42:06
00101628,분기x별도,combo_total,6.24,2026-07-07T06:42:13
00106881,연간x연결,combo_total,5.20,2026-07-07T06:42:25
00106881,연간x별도,combo_total,6.23,2026-07-07T06:42:31
00106881,분기x연결,combo_total,7.38,2026-07-07T06:42:39
00106881,분기x별도,combo_total,6.34,2026-07-07T06:42:45
00107066,연간x연결,combo_total,5.20,2026-07-07T06:42:58
00107066,연간x별도,combo_total,6.25,2026-07-07T06:43:04
00107066,분기x연결,combo_total,7.34,2026-07-07T06:43:11
00107066,분기x별도,combo_total,6.31,2026-07-07T06:43:18
00103130,연간x연결,combo_total,5.22,2026-07-07T06:43:30
00103130,연간x별도,combo_total,6.23,2026-07-07T06:43:36
00103130,분기x연결,combo_total,7.31,2026-07-07T06:43:44
00103130,분기x별도,combo_total,6.30,2026-07-07T06:43:50
00103510,연간x연결,combo_total,5.19,2026-07-07T06:44:03
00103510,연간x별도,combo_total,6.29,2026-07-07T06:44:09
00103510,분기x연결,combo_total,7.32,2026-07-07T06:44:16
00103510,분기x별도,combo_total,6.30,2026-07-07T06:44:23
00102432,연간x연결,combo_total,5.20,2026-07-07T06:44:35
00102432,연간x별도,combo_total,6.24,2026-07-07T06:44:41
00102432,분기x연결,combo_total,7.31,2026-07-07T06:44:49
00102432,분기x별도,combo_total,6.29,2026-07-07T06:44:55
00102858,연간x연결,combo_total,5.21,2026-07-07T06:45:08
00102858,연간x별도,combo_total,6.25,2026-07-07T06:45:14
00102858,분기x연결,combo_total,7.36,2026-07-07T06:45:21
00102858,분기x별도,combo_total,6.35,2026-07-07T06:45:28
00435297,연간x연결,combo_total,0.63,2026-07-07T06:45:34
00435297,연간x별도,combo_total,1.66,2026-07-07T06:45:36
00435297,분기x연결,combo_total,4.21,2026-07-07T06:45:40
00435297,분기x별도,combo_total,1.66,2026-07-07T06:45:42
00577593,연간x연결,combo_total,0.63,2026-07-07T06:45:49
00577593,연간x별도,combo_total,1.66,2026-07-07T06:45:50
00577593,분기x연결,combo_total,7.01,2026-07-07T06:45:57
00577593,분기x별도,combo_total,4.45,2026-07-07T06:46:02
00181712,연간x연결,combo_total,5.20,2026-07-07T06:46:14
00181712,연간x별도,combo_total,6.24,2026-07-07T06:46:21
00181712,분기x연결,combo_total,7.36,2026-07-07T06:46:28
00181712,분기x별도,combo_total,6.28,2026-07-07T06:46:34
00102353,연간x연결,combo_total,5.21,2026-07-07T06:46:47
00102353,연간x별도,combo_total,6.26,2026-07-07T06:46:53
00102353,분기x연결,combo_total,7.35,2026-07-07T06:47:01
00102353,분기x별도,combo_total,6.31,2026-07-07T06:47:07
01802928,연간x연결,combo_total,0.63,2026-07-07T06:47:13
01802928,연간x별도,combo_total,1.66,2026-07-07T06:47:15
01802928,분기x연결,combo_total,7.02,2026-07-07T06:47:22
01802928,분기x별도,combo_total,4.44,2026-07-07T06:47:27
01709065,연간x연결,combo_total,0.63,2026-07-07T06:47:33
01709065,연간x별도,combo_total,1.66,2026-07-07T06:47:35
01709065,분기x연결,combo_total,8.74,2026-07-07T06:47:44
01709065,분기x별도,combo_total,6.20,2026-07-07T06:47:50
00776820,연간x연결,combo_total,5.20,2026-07-07T06:48:02
00776820,연간x별도,combo_total,6.23,2026-07-07T06:48:09
00776820,분기x연결,combo_total,7.37,2026-07-07T06:48:16
00776820,분기x별도,combo_total,6.26,2026-07-07T06:48:22
00144021,연간x연결,combo_total,5.18,2026-07-07T06:48:35
00144021,연간x별도,combo_total,6.30,2026-07-07T06:48:41
00144021,분기x연결,combo_total,7.27,2026-07-07T06:48:49
00144021,분기x별도,combo_total,6.34,2026-07-07T06:48:55
01036446,연간x연결,combo_total,5.17,2026-07-07T06:49:07
01036446,연간x별도,combo_total,6.20,2026-07-07T06:49:14
01036446,분기x연결,combo_total,7.32,2026-07-07T06:49:21
01036446,분기x별도,combo_total,6.24,2026-07-07T06:49:27
00530556,연간x연결,combo_total,5.17,2026-07-07T06:49:40
00530556,연간x별도,combo_total,6.22,2026-07-07T06:49:46
00530556,분기x연결,combo_total,7.34,2026-07-07T06:49:53
00530556,분기x별도,combo_total,6.31,2026-07-07T06:50:00
00154055,연간x연결,combo_total,5.26,2026-07-07T06:50:12
00154055,연간x별도,combo_total,6.24,2026-07-07T06:50:19
00154055,분기x연결,combo_total,7.31,2026-07-07T06:50:26
00154055,분기x별도,combo_total,6.32,2026-07-07T06:50:32
00653194,연간x연결,combo_total,5.20,2026-07-07T06:50:45
00653194,연간x별도,combo_total,6.25,2026-07-07T06:50:51
00653194,분기x연결,combo_total,7.32,2026-07-07T06:50:58
00653194,분기x별도,combo_total,6.30,2026-07-07T06:51:05
00113997,연간x연결,combo_total,5.15,2026-07-07T06:51:17
00113997,연간x별도,combo_total,6.24,2026-07-07T06:51:23
00113997,분기x연결,combo_total,7.29,2026-07-07T06:51:31
00113997,분기x별도,combo_total,6.29,2026-07-07T06:51:37
00367400,연간x연결,combo_total,5.18,2026-07-07T06:51:49
00367400,연간x별도,combo_total,6.16,2026-07-07T06:51:55
00367400,분기x연결,combo_total,7.23,2026-07-07T06:52:03
00367400,분기x별도,combo_total,6.20,2026-07-07T06:52:09
00113243,연간x연결,combo_total,5.21,2026-07-07T06:52:21
00113243,연간x별도,combo_total,6.25,2026-07-07T06:52:28
00113243,분기x연결,combo_total,7.30,2026-07-07T06:52:35
00113243,분기x별도,combo_total,6.34,2026-07-07T06:52:41
00346407,연간x연결,combo_total,5.21,2026-07-07T06:52:54
00346407,연간x별도,combo_total,6.24,2026-07-07T06:53:00
00346407,분기x연결,combo_total,7.34,2026-07-07T06:53:08
00346407,분기x별도,combo_total,6.31,2026-07-07T06:53:14
00143651,연간x연결,combo_total,5.21,2026-07-07T06:53:26
00143651,연간x별도,combo_total,6.23,2026-07-07T06:53:32
00143651,분기x연결,combo_total,7.31,2026-07-07T06:53:40
00143651,분기x별도,combo_total,6.32,2026-07-07T06:53:46
00143907,연간x연결,combo_total,5.18,2026-07-07T06:53:59
00143907,연간x별도,combo_total,6.24,2026-07-07T06:54:05
00143907,분기x연결,combo_total,7.38,2026-07-07T06:54:12
00143907,분기x별도,combo_total,6.33,2026-07-07T06:54:19
