corp_code,rcept_no,statement,basis,table_seq,row_order,label_raw,classification,before,after
00250137,20040513001515,CF,separate,0,0,Ⅰ.  영업활동으로 인한 현금흐름,corrected,{0: 5506585000},"{0: -19123656000, 1: -2580239000}"
00250137,20040513001515,CF,separate,0,70,2. 재무활동으로 인한 현금유출액,corrected,{0: 0},"{0: -850000000, 1: 0}"
00250137,20040513001515,CF,separate,0,74,Ⅳ. 현금의 증가(Ⅰ+Ⅱ+Ⅲ),corrected,"{0: 3331871000, 1: 360445000}","{0: -17788653000, 1: 3331871000}"
00250137,20040513001515,CF,separate,0,67,Ⅲ. 재무활동으로 인한 현금흐름,corrected,{0: 0},"{0: -850000000, 1: 0}"
00250137,20040513001515,CF,separate,0,33,파. 선수금의 증가,corrected,"{0: 762501000, 1: 37864000}","{0: -742067000, 1: 762501000}"
00250137,20040513001515,CF,separate,0,32,타. 부가세예수금 증가,corrected,{0: 255616000},"{0: -636554000, 1: -506274000}"
00250137,20040513001515,CF,separate,0,25,마. 선급비용의 감소(증가),corrected,{0: 115075000},"{0: -46115000, 1: 115075000}"
00250137,20040513001515,CF,separate,0,27,사. 매입채무의 증가(감소),corrected,{0: 10705394000},"{0: -12851363000, 1: -3686156000}"
00250137,20040513001515,CF,separate,0,20,4. 영업활동으로 인한 자산 부채의 변동,corrected,{0: 7859871000},"{0: -22557306000, 1: -5664643000}"
00250137,20040513001515,CF,separate,0,29,자. 미지급비용의 증가,corrected,"{0: 272410000, 1: 165671000}","{0: 272410000, 1: -700085000}"
00250137,20040513001515,CF,separate,0,38,랴. 장기입주보증금의 증가,corrected,"{0: 150161000, 1: 2661474000}","{0: 150161000, 1: -1370430000}"
00250137,20040513001515,CF,separate,0,22,나. 미수금의 감소(증가),corrected,{0: 2570404000},"{0: -10712398000, 1: -809162000}"
00250137,20040513001515,CF,separate,0,31,카. 예수금의 증가(감소),corrected,{0: 28750000},"{0: -168177000, 1: 28750000}"
00109781,20050518000041,CF,separate,0,19,사. 선급법인세의증가,corrected,"{0: 0, 1: 0}","{0: -23824000, 1: 0}"
00109781,20050518000041,IS,separate,0,0,Ⅰ.매출액,corrected,"{0: 14007281000, 1: 49829720000}","{0: -10810427000, 1: 14007281000}"
00109781,20050518000041,CF,separate,0,0,Ⅰ. 영업활동으로인한현금흐름,corrected,{0: 323245000},"{0: -402419000, 1: 323245000}"
00109781,20050518000041,BS,separate,0,75,4.이월이익잉여금,corrected,{0: 1139030000},"{0: -311514000, 1: 1139030000, 2: -639057000}"
00109781,20050518000041,IS,separate,0,47,Ⅹ.법인세비용,corrected,{0: 152417000},"{0: -53851000, 1: 152417000}"
00109781,20050518000041,CF,separate,0,33,Ⅱ. 투자활동으로인한현금흐름,corrected,{0: 6890344000},"{0: -1114253000, 1: 6890344000}"
00109781,20050518000041,CF,separate,0,62,나. 유동성장기부채의상환,corrected,"{0: 0, 1: 306680000}","{0: 0, 1: -118340000}"
00109781,20050518000041,IS,separate,0,28,Ⅴ.영업이익,corrected,{0: 681980000},"{0: -553816000, 1: 681980000}"
00109781,20050518000041,IS,separate,0,46,Ⅸ.법인세비용차감전순이익,corrected,{0: 535542000},"{0: -553703000, 1: 535542000}"
00109781,20050518000041,CF,separate,0,28,너. 미지급비용의증가(감 소),corrected,{0: 64825000},"{0: -84760000, 1: -3495000}"
00109781,20050518000041,IS,separate,0,48,ⅩⅠ.당기순이익,corrected,{0: 383125000},"{0: -499852000, 1: 383125000}"
00109781,20050518000041,CF,separate,0,30,러. 이연법인세대의증 가(감 소),corrected,{0: 71756000},"{0: -53852000, 1: 71756000}"
00109781,20050518000041,CF,separate,0,23,카. 매입채무의증가 (감 소),corrected,"{0: 222238000, 1: 209644000}","{0: -235198000, 1: 222238000}"
00109781,20050518000041,CF,separate,0,32,버. 부가세대급금의감소,corrected,"{0: 0, 1: 0}","{0: -72109000, 1: 0}"
00109781,20050518000041,IS,separate,0,45,Ⅷ.경상이익,corrected,{0: 535542000},"{0: -553703000, 1: 535542000}"
00109781,20050518000041,CF,separate,0,27,거. 부가세예수금의증가(감 소),corrected,"{0: 0, 1: 0}","{0: -29869000, 1: 0}"
00109781,20050518000041,CF,separate,0,20,아. 재고자산의감소(증가),corrected,"{0: 0, 1: 0}","{0: -422569000, 1: 0}"
00109781,20050518000041,CF,separate,0,29,더. 미지급법인세의증가(감 소),corrected,{0: 71535000},"{0: -69600000, 1: 71535000}"
00109781,20050518000041,CF,separate,0,15,다. 선급금의감소(증 가),corrected,"{0: 30000000, 1: 27699000}","{0: -7258000, 1: 30000000}"
00109781,20050518000041,CF,separate,0,24,타. 미지급금의증가(감 소),corrected,{0: 4435000},"{0: -285942000, 1: 4435000}"
00109781,20050518000041,CF,separate,0,17,마. 미수금의감소(증 가),corrected,{0: 69471000},"{0: -4101000, 1: 69471000}"
00109781,20050518000041,CF,separate,0,26,하. 예수금의증가(감 소),corrected,{0: 7901000},"{0: -27643000, 1: -39731000}"
00109781,20050518000041,CF,separate,0,1,1. 당기순이익,corrected,{0: 383125000},"{0: -499852000, 1: 383125000}"
00101044,20070522000013,IS,separate,0,7,(4) 타계정대체액,corrected,{0: -384000000},"{0: -80000000, 1: -59000000}"
00101044,20070522000013,CF,separate,0,0,Ⅰ. 영업활동으로 인한 현금흐름,corrected,{0: -7240000000},"{0: -3360000000, 1: -1780000000}"
00101044,20070522000013,CF,separate,0,80,2. 재무활동으로 인한 현금유출액,corrected,{0: 3565000000},{0: -785000000}
00101044,20070522000013,CF,separate,0,82,단기차입금의 상환,corrected,{0: 3565000000},{0: -785000000}
00101044,20070522000013,BS,separate,0,74,Ⅲ. 결  손  금,corrected,"{0: 5558000000, 1: 5381000000}","{0: -6674000000, 1: 5558000000, 2: 5381000000}"
00101044,20070522000013,CF,separate,0,66,유동성매도가능증권의 취득,corrected,{0: 1000000},{0: -750000000}
00101044,20070522000013,CF,separate,0,75,Ⅲ. 재무활동으로 인한 현금흐름,other_lost,{1: 5705000000},{0: 8723000000}
00101044,20070522000013,CF,separate,0,84,Ⅳ. 현금의 증가 (감소) (Ⅰ+Ⅱ+Ⅲ),corrected,"{0: 1780000000, 1: 811000000}","{0: 1301000000, 1: 1363000000}"
00101044,20070522000013,CF,separate,0,59,단기대여금의 증가,corrected,{0: 2493000000},{0: -1623000000}
00101044,20070522000013,CF,separate,0,68,건설중인자산의 증가,corrected,{0: 274000000},{0: -318000000}
00101044,20070522000013,BS,separate,0,42,감가상각누계액,corrected,"{0: -451000000, 1: 372000000}","{0: -489000000, 1: -451000000, 2: 372000000}"
00101044,20070522000013,BS,separate,0,78,4.처리전결손금,corrected,"{0: 5558000000, 1: 5381000000}","{0: -6674000000, 1: 5558000000, 2: 5381000000}"
00101044,20070522000013,CF,separate,0,61,공구와 기구의 취득,corrected,{0: 80000000},"{0: -90000000, 1: -54000000}"
00101044,20070522000013,BS,separate,0,44,감가상각누계액,corrected,"{0: -180000000, 1: 298000000}","{0: -200000000, 1: -180000000, 2: 298000000}"
00101044,20070522000013,CF,separate,0,63,차량운반구의 취득,corrected,{0: 60000000},{0: -16000000}
00101044,20070522000013,CF,separate,0,56,2. 투자활동으로 인한 현금유출액,corrected,{0: 3533000000},"{0: -6261000000, 1: -15073000000}"
00101044,20070522000013,IS,separate,0,67,Ⅷ. 경상이익 (손실),corrected,{0: -5381000000},"{0: -1116000000, 1: -72000000}"
00101044,20070522000013,CF,separate,0,67,구축물의 취득,corrected,{0: 21000000},"{0: -97000000, 1: -21000000}"
00101044,20070522000013,IS,separate,0,69,Ⅹ.법인세차감전순손실,corrected,{0: -5381000000},"{0: -1116000000, 1: -72000000}"
00101044,20070522000013,CF,separate,0,60,기계장치의 취득,corrected,{0: 99000000},"{0: -416000000, 1: -21000000}"
