corp_code,corp_name,fiscal_year,fiscal_period,basis,field,db_won,report_won,category,evidence_acode
00296290,키움증권,2026,Q1,separate,revenue,732489237686,8923209532763,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2026,Q1,consolidated,revenue,867579407757,9395970804145,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,Q3,separate,revenue,1510904887882,10505412846376,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,Q3,consolidated,revenue,1753083322146,11535468843906,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,Q1,separate,revenue,454900992586,3353926417053,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,Q1,consolidated,revenue,524473188803,3659953408737,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,H1,separate,revenue,992148763775,7482190620241,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,H1,consolidated,revenue,1139465578194,8165616270881,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,FY,separate,revenue,2038439013887,15715186906021,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2025,FY,consolidated,revenue,2396215534912,17121703940748,ADDITIVE_PAIR_CANDIDATE,
00296290,키움증권,2024,FY,separate,revenue,1604621014870,10210184320220,UNRESOLVED,
00296290,키움증권,2024,FY,consolidated,revenue,1845937356277,11280306577010,ADDITIVE_PAIR_CANDIDATE,
00306454,한국정보인증,2025,Q1,separate,trade_payables,102309187,2647772842,CONCEPT_GAP,dart_LongTermTradeAndOtherNonCurrentPayables
00330424,LS증권,2025,FY,consolidated,revenue,196037232540,2295339555776,ADDITIVE_PAIR_CANDIDATE,
00330424,LS증권,2025,Q1,consolidated,revenue,49419490996,369220064011,ADDITIVE_PAIR_CANDIDATE,
00330424,LS증권,2025,Q1,separate,revenue,49935070908,369151864188,ADDITIVE_PAIR_CANDIDATE,
00330424,LS증권,2025,Q3,consolidated,revenue,163444622685,1338809292550,ADDITIVE_PAIR_CANDIDATE,
