rcept_no,corp_code,fiscal_year,fiscal_period,statement,basis,unit_source,adecimal,n_impossible_rows,max_abs_value_won
20130828000220,00359623,2013,H1,SCE,consolidated,declared,-6,64,8484788935000000
20040623000255,00117212,2003,FY,CF,consolidated,doc_default,-6,60,9847461960000000
20050516001328,00153393,2005,Q1,CF,consolidated,doc_default,-6,60,9883061480000000
20040521000128,00117212,2003,FY,CF,consolidated,doc_default,-6,60,9847461960000000
20040330000098,00117212,2003,FY,CF,consolidated,doc_default,-6,60,9847461960000000
20050812000853,00153393,2005,H1,CF,consolidated,doc_default,-6,60,9883061480000000
20220322000790,00176835,2021,FY,SCE,consolidated,declared,-6,60,9456150360000000
20070515002002,00191472,2007,Q1,SCE,separate,doc_default,-6,54,9000000000000000
20241114001806,00159971,2024,Q3,SCE,consolidated,declared,-6,52,8436516570000000
20140828000785,00490151,2014,H1,SCE,consolidated,declared,-6,52,9588287487000000
20140829001766,00140955,2014,H1,SCE,consolidated,declared,-6,50,9870107096000000
20050816000759,00113359,2006,Q1,BS,separate,declared,-6,50,9720869570000000
20090216000389,00115694,2009,Q3,IS,consolidated,doc_default,-6,50,9870876381000000
20250318001269,00299002,2024,FY,SCE,consolidated,declared,-6,49,7529043238000000
20080213000097,00136721,2008,Q3,BS,consolidated,declared,-6,49,9911110000000000
20071113000525,00136721,2008,H1,BS,consolidated,declared,-6,49,9911110000000000
20230320000985,00989619,2022,FY,SCE,consolidated,declared,-6,48,8146003033000000
20031114001672,00131780,2003,Q3,CF,separate,doc_default,-6,47,9468964469000000
20060515001990,00120030,2006,Q1,CF,separate,doc_default,-6,46,9266244715000000
20230322000822,00888347,2022,FY,SCE,consolidated,declared,-6,46,9305115444000000
20070814000814,00153126,2007,H1,BS,consolidated,declared,-6,46,9828954068000000
20071114001878,00153126,2007,Q3,BS,consolidated,declared,-6,46,9828954068000000
20080515001982,00152385,2008,Q1,BS,consolidated,doc_default,-6,46,9895321306000000
20070515002052,00153126,2007,Q1,BS,consolidated,declared,-6,46,9828954068000000
20060814000401,00120030,2006,H1,CF,separate,doc_default,-6,45,9518882784000000
20210311001126,00104388,2020,FY,SCE,consolidated,declared,-6,45,9669335828000000
20020214000197,00111722,2002,Q3,IS,consolidated,doc_default,-6,44,9488190157000000
20061114001395,00153126,2006,Q3,BS,consolidated,declared,-6,44,9828954068000000
20060515003356,00153126,2006,Q1,BS,consolidated,declared,-6,44,9828954068000000
20060814000061,00153126,2006,H1,BS,consolidated,declared,-6,44,9828954068000000
20060517000174,00153126,2006,Q1,BS,consolidated,declared,-6,44,9828954068000000
20070330001121,00106623,2006,FY,CF,separate,doc_default,-6,43,9552653390000000
20020814001408,00110893,2003,Q1,IS,separate,doc_default,-6,43,9627346481000000
20210813001272,00152880,2021,H1,CF,consolidated,declared,-6,43,9336635524000000
20070214000237,00104856,2007,Q3,BS,consolidated,doc_default,-6,43,10000000000000000
20060814000337,00152589,2006,H1,BS,separate,doc_default,-6,43,10000000000000000
20020214000262,00136721,2002,Q3,BS,consolidated,doc_default,-6,43,10000000000000000
20061114001748,00104856,2007,H1,BS,consolidated,doc_default,-6,43,10000000000000000
20061114001222,00120030,2006,Q3,CF,separate,doc_default,-6,42,9455526924000000
20020515000595,00172680,2002,Q1,CF,separate,doc_default,-6,42,9702626320000000
20070814001744,00148993,2007,H1,IS,consolidated,doc_default,-6,42,9946099930000000
20100816000302,00136271,2010,H1,CF,consolidated,declared,-6,40,10000000000000000
20070814001267,00115612,2007,H1,CF,separate,doc_default,-6,40,8894129242000000
20100517001070,00136271,2010,Q1,CF,consolidated,declared,-6,40,10000000000000000
20070515000224,00244455,2007,Q1,CF,separate,doc_default,-6,40,10000000000000000
20080515000888,00146269,2008,Q1,CF,consolidated,doc_default,-6,40,9613413428000000
20210813001338,00163512,2021,H1,SCE,consolidated,declared,-6,40,9962442450000000
20170814002311,00679314,2017,H1,SCE,consolidated,declared,-6,40,8756870400000000
20210813001272,00152880,2021,H1,CF,separate,declared,-6,39,9752503487000000
20070814000346,00244455,2007,H1,CF,separate,doc_default,-6,39,9996217415000000
20070515001605,00124799,2007,Q1,CF,consolidated,declared,-6,39,8737031130000000
