rcept_no,corp_code,statement,basis,classification,note
20000330000636,00111689,APPR,separate,M3,결 손 금 처 리 계 산 서제 27 기 (1999. 01. 01 부터 1999. 12. 31 까지)제 26 기 (1998. 01. 01 부터 1
20000513000357,00160621,BS,separate,M2,
20000628000052,00148610,IS,separate,M2,
20000810000122,00231664,IS,separate,M2,
20000812000179,00122056,BS,separate,M2,
20020214000113,00135050,BS,separate,M2,
20020214000113,00135050,IS,separate,M2,
20020214000167,00115694,IS,separate,M2,
20020214000197,00111722,IS,consolidated,M2,
20020214000262,00136721,BS,consolidated,M2,
20020214000338,00115694,IS,separate,M2,
20020215000355,00115694,IS,separate,M2,
20020329000398,00114093,CF,separate,M2,
20020330000008,00152385,APPR,separate,M2,
20020330000008,00152385,CF,separate,M2,
20020330000021,00175173,BS,separate,M2,
20020330000112,00122898,APPR,separate,M3,제 31 기 2001. 01. 01부터 2001. 12. 31 까지제 30 기 2000. 01. 01부터 2000. 12. 31 까지제 29 기
20020330000288,00105271,BS,separate,M2,
20020330000336,00167192,APPR,separate,M2,
20020330000386,00163345,IS,separate,M2,
20020330000431,00130383,IS,consolidated,M2,
20020330000622,00143907,CF,separate,M2,
20020330001050,00174527,IS,separate,M2,
20020401000611,00121288,SCE,consolidated,M2,
20020401001033,00172680,IS,separate,M2,
20020401001282,00267942,APPR,separate,M2,
20020401001282,00267942,IS,separate,M2,
20020401001310,00164478,CF,separate,M2,
20020401001326,00104999,CF,consolidated,M2,
20020425000209,00173874,CF,separate,M2,
20020429000069,00152385,APPR,separate,M2,
20020429000069,00152385,CF,separate,M2,
20020513000024,00122898,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제 31 기 (2001. 01. 01 부터 2001. 12. 31 까지)제 30 기 (2000. 01. 01 
20020514000235,00128661,IS,separate,M2,
20020514000369,00114093,CF,separate,M2,
20020514000525,00166175,BS,separate,M2,
20020514000603,00159616,BS,separate,M2,
20020514000607,00128032,BS,separate,M2,
20020514000607,00128032,IS,separate,M2,
20020514000682,00135777,IS,consolidated,M2,
20020514000709,00159616,BS,separate,M2,
20020514000797,00137207,CF,separate,M2,
20020514000923,00120289,IS,separate,M2,
20020515000042,00174527,IS,separate,M2,
20020515000089,00242378,APPR,separate,M2,
20020515000264,00114154,BS,separate,M2,
20020515000383,00174208,IS,separate,M2,
20020515000551,00108038,IS,separate,M2,
20020515000582,00267942,BS,separate,M2,
20020515000582,00267942,IS,separate,M2,
20020515000595,00172680,CF,separate,M2,
20020515000658,00148276,BS,separate,M2,
20020515000658,00148276,IS,separate,M2,
20020515000722,00122348,BS,separate,M2,
20020515001149,00130383,IS,consolidated,M2,
20020515001156,00130383,IS,consolidated,M2,
20020517000146,00148276,BS,separate,M2,
20020517000146,00148276,IS,separate,M2,
20020531000012,00114093,CF,separate,M2,
20020628000022,00146083,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제59기 2001년 4월 1일부터 2002년 3월 31일까지제58기 2000년 4월 1일부터 2001년 3월 
20020809000085,00106669,IS,separate,M2,
20020812000212,00145109,IS,separate,M2,
20020813000082,00129387,CF,separate,M2,
20020813000143,00122898,APPR,separate,M3,이 익 잉 여 금 처 분 계 산 서제 31 기 (2001. 01. 01 부터 2001. 12. 31 까지)제 30 기 (2000. 01. 01 
20020813000203,00114093,CF,separate,M2,
20020813000554,00350020,CF,separate,M2,
20020813000554,00350020,IS,separate,M2,
20020813000675,00108940,IS,separate,M2,
20020813000740,00148896,BS,separate,M2,
20020814000116,00130383,IS,consolidated,M2,
20020814000160,00109037,APPR,separate,M2,
20020814000160,00109037,CF,separate,M2,
20020814000160,00109037,IS,separate,table_not_found,"9,473,940,000"
20020814000425,00351807,IS,separate,M2,
20020814000575,00164779,BS,separate,M3,대 차 대 조 표제55(당)기 반기 2002년 6월 30일 현재제54(전)기 반기 2001년 6월 30일 현재제54기 연간 2001년 12월 3
20020814000575,00164779,IS,separate,M2,
